summary,episode,season
"Chandler tries proving to Monica that he is 'boyfriend material'. The gang goes to Montauk for the weekend, but their borrowed beach house is filled with sand after a storm. The gang plays strip Happy Days game, with Joey losing more than his shirt. Rachel and Ross flirt until Bonnie unexpectedly shows up. Phoebe meets the woman, also named Phoebe, who knew her parents. She suspects the elder Phoebe knows more than she is telling, so she breaks inter her house looking for information about her father. Elder Phoebe catches her, then confesses that she is Phoebe's birth mother. Ross discovers that Rachel still loves him and may want to reconcile. He must choose between her and sex-crazy and newly-bald Bonnie,",25,3
"Ross breaks up with Bonnie and gets back with Rachel, though she insists he first read her 18-page  letter discussing their relationship and insisting he take full responsibility for their break-up. Ross reluctantly agrees, suppressing his anger. Joey and Chandler come to Monica's rescue after she is stung by a jellyfish--one of them has to pee on her leg to relieve the pain. Phoebe goes to see her sister, Ursula, who reveals she already knows about their birth mother. Ross and Rachel break up again after Ross refuses to take all the blame for their previous problems and insists they were, ""on a break.""",1,4
"Monica runs into Chip Matthews, Rachel's high school prom date. Monica is thrilled when he asks her out, though it causes tensions between her and Rachel ; Monica quickly realizes Chip has never matured beyond high school and dumps him. Chandler forces Joey to sell the entertainment unit he built. A prospective buyer traps Joey inside the unit, then steals the guys' belongings. Phoebe is overjoyed to find a cat she believes contains her mother, Lily's, spirit.",2,4
"Joey is enticed when a door-to-door encyclopedia salesman shows up at the apartment. Joey can only afford to buy the sample volume and becomes knowledgeable on subjects starting with the letter ""V."" Monica caters a party for her mother, but the mini-quiches are ruined when her false fingernails gets lost in one. Judy says she expected Monica to mess up so she bought frozen lasagnas as a back-up. Monica, angry, whips up a delicious dish at the last minute, impressing her mother. Chandler begins seeing Rachel's boss, Joanna again, but lands in a sticky situation and faces Rachel's wrath after Joanna handcuffs him inside her office, then leaves for a meeting, getting delayed and stranding him.",3,4
"Phoebe struggles to remain professional with an attractive client. When she finally confesses her feelings to him he reciprocates. While kissing, Phoebe's boss walks in, she informs Phoebe the man is married, then fires her. Chandler needs Ross' help to quit his gym when he becomes intimidated by the assertive staff. Joey confronts Mr. Treeger after he makes Rachel cry. Treeger then threatens to report Monica for illegally subletting her grandmother's apartment. To make amends, Joey agrees to help Treeger practice ballroom dancing for his upcoming social event.",4,4
"Phoebe has a cold that she thinks improves her singing voice only to be frustrated when her ""sexy phlegm"" disappears. She then tries to catch Monica's cold. Ross attempts to make Rachel jealous by dating Amanda, a beautiful woman with a child Ben's age, only to discover she thinks he is her babysitter. Rachel dates an immature guy who is stealing from her and the other friends. Chandler is smitten with Joey's new actress girlfriend, Kathy.",5,4
"Phoebe helps Monica cater a funeral, but the merry widow intimidates Monica to avoid paying them; Phoebe takes charge, demanding the widow settle the account, prompting the girls to start their own catering business. Chandler reluctantly helps Joey find Kathy a birthday present better than the one he bought for her, ultimately sacrificing his gift to substitute for Joey's tacky one. Ross, revolted by his beautiful new girlfriend's filthy apartment, finally calls it quits. Rachel is determined to complete a crossword without help. Kathy later thanks Chandler for the book, realizing he bought it.",6,4
"Rachel finds a new joy in eating alone at restaurants. Ross starts playing keyboards again leaving the gang aghast by his unusual compositions which Phoebe thinks are brilliant. Chandler's feelings towards Kathy reach a breaking point after they kiss. He vainly tries to fix things after telling Joey the truth. Joey is outraged, even though he is dating another woman at the same time.",7,4
"During Thanksgiving dinner, Joey punishes Chandler for kissing Kathy by sentencing him to ""time out"" inside a crate. Joey finally relents and gives Chandler and Kathy his approval. Ross is shocked to learn that Rachel exchanges every gift she is given, but she shows Ross that she keeps things that matter. Monica becomes infatuated by Richard Burke's son, also an eye doctor, when she has an appointment with him.",8,4
"Monica and Phoebe buy a van for their new catering business, but plans are upended when Monica is offered the head chef job at 'Alessandro's"", a restaurant she recently trashed in a review for a neighborhood paper. Rachel applies for an assistant buyer job in another Bloomingdale's department, only to be sabotaged during the interview by her boss, Joanna, who wants to keep Rachel as her assistant. Rachel confronts Joanna, who then offers to make her an assistant buyer in her department. Unfortunately, Joanna meets an untimely end before Rachel's promotion takes effect. Ross and Chandler are excited when their friend Mike 'Gandalf' Ganderson is coming to town to party. When Gandalf cancels, Joey says they can still have a great time.",9,4
"Chandler's attempt to set up Rachel up with someone from work gets out of hand when his colleagues start competing with one another, believing she only wants a fling. He then scares everyone off by saying Rachel wants to serious. Monica's new staff at Alessandro's resent her for replacing their family member as chef. She then hires Joey so she can fake ""fire"" him to show them who is boss. When Joey gets lucrative tips, he refuses to give her a reason to fire him. Ross is torn between a pretty but overly-serious girl who lives nearby and a fun one from upstate that takes all his free time commuting to see. Phoebe writes a holiday song for her friends but has trouble rhyming words.",10,4
"Monica and Rachel offer Chandler advice on improving his performance in the bedroom with Kathy. Ross lands Joey a job as a tour guide at the museum. Joey is disappointed when Ross will not sit with him in the lunch room, exposing a greater ""class divide"" within the museum. Phoebe's brother, Frank, and Alice have eloped and want children right away. They are unable to conceive naturally and ask Phoebe to carry their baby. After much consideration, Phoebe agrees.",11,4
"Rachel and Monica demand that Chandler and Joey get rid of the birds when the rooster starts crowing every morning. Joey and Chandler argue with Monica and Rachel over who knows whom better, so Ross designs a trivia quiz with high stakes: if the men lose, they give up the chick and duck, but if the women lose, they switch apartments with the men. The result comes down to a tie breaker, which the girls lose, forcing them to move. Frank and Alice's embryos are implanted into Phoebe's uterus, leading to a tense wait that results in her pregnancy.In 2009, TV Guide ranked this episode #21 on its list of the 100 Greatest Episodes.[3]",12,4
"Monica is determined to continue being 'the hostess' and strives to succeed after the girls have to switch apartments with Chandler and Joey. Chandler worries when Kathy and a fellow actor get steamy on stage in a play and unfairly accuses her of cheating on him. When he later goes to her apartment to apologize, he discovers she is now sleeping with her co-star. Rachel is unhappy after being switched to another department as a personal shopper. Her job attitude improves after meeting a handsome young customer named Joshua.",13,4
"Chandler is depressed over his break-up with Kathy, requiring the girls' intervention that includes a strip club. Rachel asks for Ross' help after she becomes double-booked with Joshua, who invites her to a club opening, and her boss who wants her to accompany his niece, Emily, just in from London, to the opera. Joey arrives home with an unpleasant odor following a three-day fishing trip with his father. He oversleeps and rushes to a movie set without showering. He sneaks into Charlton Heston's dressing room to use his shower. Ross reluctantly agrees to meet Emily and take her to the opera, then shocks everyone when the couple end up spending the weekend together at a Bed & Breakfast.",14,4
"Ross risks life and limb when he wants to show Emily how tough he is by playing rugby with her athletic British friends. Monica becomes obsessed with a wall switch in the apartment that appears to have no function. Chandler runs into Janice and goes to extreme measures to avoid her, including telling her he is being transferred to Yemen.",15,4
"Pregnant Phoebe, a vegetarian, craves meat and enlists Joey's help. He offers to refrain from eating meat, thus balancing out what Phoebe consumes. Ross wants to spend as much time with Emily as possible before she returns to London. Rachel throws a fake surprise goodbye party for Emily as a ruse to invite Joshua, disrupting Ross' more intimate farewell plans.",16,4
"Phoebe is shocked she is expecting triplets and wants to find a way to help financially support Frank and Alice. Monica persuades Ross to pursue Emily to the airport. Ross arrives just as she is boarding and says he loves her. Emily merely says thank you and leaves. She later calls to apologize for her lukewarm reaction and says it was because there is someone else. Monica believes Emily loves Ross and convinces him to go to England to say he loves her. Ross flies to London, unaware Emily has returned to New York to tell Ross she loves him. They finally connect by phone. Phoebe and Frank decide to start a massage/taxi business using the van Phoebe and Monica were once going to use for a catering business. Chandler and Joey are delighted to discover a free pornography channel on their TV, becoming addicted when they refuse to turn it off.",17,4
"Frank and Alice ask Phoebe to name one of their unborn triplets. Both Joey and Chandler compete to get her to choose their name. Joey says ""Chandler"" is a sissy name, prompting Chandler to consider changing it, though he has ulterior motives. Ross becomes paranoid when Emily and Carol's wife, Susan, spend time together in London. Rachel wears a revealing dress and an even sexier slip under it while dining with Joshua at his apartment, only to be unpleasantly surprised when his parents unexpectedly arrive.",18,4
"Monica and Rachel make desperate attempts to win their apartment back from Joey and Chandler, including bribing them with Knicks tickets and challenging them to another game. The girls lose the tickets and the game, but are ultimately triumphant in getting their place back with Phoebe's help. Ross is disheartened with Emily returning to London again, so they spontaneously decide to get married.",19,4
"Chandler, frustrated by Joey's loud snoring, takes him to a sleep clinic where he meets an attractive woman with her own sleeping issues. Rachel, struggling to accept Ross and Emily's engagement, shocks Joshua by saying they should get married. Monica and Phoebe pick up Emily's wedding gown at the bridal shop. Monica tries it on and does not want to take it off, then puts it on again at home. Phoebe then shows up in a rented wedding dress. Rachel leaves Joshua a phone message explaining she was just upset about Ross and Emily. She never expects to see Joshua again. The girls try cheering Rachel up by getting her to wear her old wedding dress, only for Joshua to show up. Seeing her in a bridal gown, he runs off for good.",20,4
"A clip show where pregnant Phoebe is frustrated at being unable to attend Ross' London wedding. Ross surprises Emily by inviting Rachel, causing him to reminisce about their time together. Rachel believes it will be too heart-breaking to attend and decides not to go.This episode includes much footage Ross and Rachel's relationship throughout the show.",21,4
"Rachel and Monica have a baby shower for Phoebe who is experiencing extreme mood swings and growing depressed about giving up the babies. Ross chooses Joey over Chandler to be his best man, but Joey loses the wedding ring after throwing a bachelor party featuring a stripper. They discover the duck ate the ring and take it to the vet, who retrieves it. Ross decides to make both Chandler and Joey his best men.",22,4
"Everyone except Rachel and Phoebe fly to London for Ross and Emily's wedding. Joey embarrasses Chandler while sightseeing in London. Ross and Emily are shocked that their wedding venue is undergoing an early demolition. Monica suggests postponing the wedding, infuriating Ross. Back in New York, Rachel, realizing she loves Ross, heads to London to stop the wedding. Later, Ross and Monica surprise Emily by transforming the partially-demolished church into a suitable venue. Joey becomes homesick but a bridesmaid cheers him up. Phoebe repeatedly calls London to stop Rachel. After seeing Ross and Emily together, Rachel is unable to tell Ross the truth. Monica and Chandler sleep together, hiding it from the other friends. At the altar, Ross says Rachel's name instead of Emily's.",23,4
"After Ross mistakenly says Rachel's name instead of Emily's at the altar, she runs off and goes into hiding. Monica and Chandler, desperate to hook up again, are unable to find a suitable place. Rachel debates whether she should confront Ross about her feelings. Ross goes to the airport hoping Emily will show up so they can go on their honeymoon. He runs into Rachel who is on standby for a flight home. When it appears Emily is not coming, Ross persuades Rachel to go with him instead. Emily shows up at the airport, but seeing Rachel getting on the plane, she runs off again with Ross chasing after her. Rachel, waiting for Ross to board the plane, ends up going to Greece alone.",1,5
"Phoebe feels left out when the other friends talk non-stop about their London trip. Rachel returns from Greece, telling Ross she had a great time but is actually livid that he abandoned her on the plane. Ross attempts to reconcile with Emily who refuses to speak to him. Rachel wants Monica to make all her romance decisions, but ultimately ignores her. Once back home, Monica and Chandler are caught kissing, so Chandler kisses all the girls to cover up their budding relationship.",2,5
"Feeling guilty over Phoebe missing out on London, the gang plan a weekend trip to Atlantic City, but just as they are about to leave, Phoebe's water breaks and they head to the hospital. In an attempt to get over Ross, Rachel asks out two male nurses for her and Monica. This causes friction between Monica and Chandler, with Chandler reacting as if he does not care. In the delivery room, Phoebe frets about her Fonzie-obsessed doctor. Joey, in pain, is diagnosed with kidney stones and admitted to the hospital. After giving birth to Frank and Alice's triplets: Frank Jr. Jr, Leslie, and Chandler, Phoebe has difficulty giving them up.",3,5
"Chandler starts behaving rather arrogantly after learning Monica thinks he is the best sex she has ever had. Phoebe does her best to find a selfless good deed. Ross finally contacts Emily to try and work things out. She agrees to come to New York, but only if Ross agrees never to see Rachel. Joey lands a job on a PBS telethon, much to Phoebe's disapproval, who believes there is not such thing as a selfless good deed.",4,5
"Ross tells Rachel that Emily does not want him to see her anymore. Rachel then worries she will be phased out of the group entirely, much like Chandler's old roommate, Kip, and seeks advice from Phoebe. Monica and Chandler sneak away for a weekend together and end up fighting. Joey eventually figures out the truth about their relationship, though they swear him to secrecy.",5,5
"Phoebe's mother sends her a fur coat, causing her to rethink her views. Emily's demands on Ross become more unreasonable, annoying his friends, and causing him to make a huge decision about his marriage. Monica and Rachel encounter what they think is a yeti man in the storage room leading to them fogging him with bug spray. Joey later explains that they fogged Danny, who just moved into their building. Rachel and Phoebe go to his apartment to apologize for fogging him, though he brushes them off.",6,5
"Rachel tries acting aloof with Danny, despite liking him. Phoebe begins dating Larry, a health inspector, but the friends are annoyed when he shuts down all their favorite restaurants after eating there. When Emily's cousin evicts Ross from the apartment he subletted to him, Joey and Chandler invite him to move in with them; his personal habits soon prove annoying.",7,5
"Monica cooks Thanksgiving dinner. After, everyone share stories of their worst-ever Thanksgivings: Chandler learned of his parents' divorce; Joey got a raw turkey stuck on his head; newly-thin, teen-aged Monica accidentally cut off the tip of Chandler's with a sharp knife.",8,5
"Phoebe takes a literature course and regrets bringing Rachel, who does not take the class seriously. Joey tires of covering up Monica and Chandler's secret relationship. Ross is forced to take time off from work to deal with his anger issues after his marriage ends. Monica and Chandler silently beg Joey to maintain their secret after the other friends notice strange goings-on and think Joey is a pervert. Joey agrees but only by claiming that all the odd behavior is because he and Monica slept together in London, humiliating Monica.",9,5
"During his forced time off from work, Ross, bored, encourages Joey to write his own screenplay, ultimately causing friction between the three guys. Phoebe becomes overly aggressive collecting money for the poor in the run-up to Christmas. Monica sets Rachel up on a date with Danny, but Rachel quickly loses interest after Danny and his sister act overly affectionate with one another.",10,5
The gang make New Year resolutions: Rachel promises to stop gossiping; Monica tries to be less fastidious ; Phoebe wants to pilot a commercial aircraft; Joey wants to learn the guitar; Chandler must stop making jokes; and Ross wants to try something new each day. Phoebe's attempt to teach Joey the guitar ends badly. Ross encounters a problems when he wears a new pair of leather pants on a first date. Rachel receives a shock when she picks up the phone and overhears a conversation between Monica and Chandler.,11,5
"Monica is dismayed by how Chandler kisses up to his boss at work. Rachel tries to get Monica to confess her secret about Chandler, but Monica is unwilling to confide anything. Ross learns Emily is engaged again, and has a one-night stand with someone the group is all too familiar with, Janice. Later, Janice breaks up with Ross, unable to stand his perpetual whining. Ross asks Chandler to forgive him for sleeping with his ex, believing it breaks a friendship rule. Chandler is amused, but realizes he can leverage that in case Ross becomes upset when he eventually finds out about him and Monica.",12,5
"Phoebe's grandmother dies, and she is shocked when her father, Frank, comes to the funeral. Wanting to know more about him, she arranges an encounter without revealing her identity. Joey wants to look stylish for an upcoming audition, so Rachel helps out, styling him with a ""man's bag"" as an accessory. Joey loves the bag, but everyone else considers it a purse. Monica is upset that Chandler dislikes her massages, which he finds extremely painful.",13,5
"Ross applies for Ugly Naked Guy's apartment when he moves out, only to find there is fierce competition. While viewing the apartment with Ross and Rachel, Phoebe happens to see Monica and Chandler through the window, having sex. Joey is relieved that everyone  finally knows and he no longer has to pretend, but Rachel and Phoebe want to have some fun by forcing them into confessing. Rachel suggests Ross strike up an acquaintance with Ugly Naked Guy by finding similar interests to win his apartment, causing Ross to employ an extreme method. Chandler and Monica finally confess they love each other, but want to keep it secret from Ross a while longer  .,, but Ross soon finds out, causing another emotional outburst in front of his boss who just cleared him to return to work.",14,5
"Ross is initially furious upon learning about Chandler and Monica, but quickly comes round when he learns they are serious about each other. Joey dates a girl,",15,5
"Phoebe finds a police badge at the coffeehouse and has fun pretending to be a cop – until she pulls it on the owner, a cop named Gary. He later asks her out for dinner. Ross buys a new couch, but refuses to pay the huge delivery charge. Ross soon wishes he had paid the fee as he and Rachel struggle to get the couch up to his apartment. Joey is upset after having a romantic dream about Monica. However, Monica assures him it is only because he wants a serious relationship similar to Monica and Chandler's.",16,5
"Rachel interviews with Ralph Lauren and accidentally kisses her interviewer and prospective boss – Mr. Zelner. Monica wants to prove that she and Chandler are a hotter couple than Phoebe and her new boyfriend, Gary. Joey flirts with a girl who lives across the street in Ross' building. When he goes to meet her, he cannot find her apartment and continually ends up at Ross' door, having miscalculated the floor number.",17,5
"Rachel attempts smoking to feel more included at work with her boss and co-worker. Joey auditions for a soup commercial with Ben playing his son. When the director pairs Ben with another father, Joey is left in the uncomfortable position of competing with his friend's son. Monica and Phoebe plan Rachel's birthday party, but when  Monica takes over, leaving Phoebe in charge of only cups and ice, Phoebe goes all out.",18,5
"Rachel secretly helps out Ross after he botches flirting with the pizza delivery girl. Joey invites his grandmother over to watch his role on Law & Order – but when his part has been cut, he quickly improvises his own 2-minute role and sneaks in the video for everyone to watch. Monica asks Phoebe for a pair of earrings she loaned her, but Phoebe lent them to Rachel, who lost one.",19,5
"Ross, Joey, and Chandler go on a ride-along with Phoebe's cop boyfriend, Gary. Believing there are gunshots, Joey attempts to protect his meatball sandwich, though Ross believes he was trying to save him. Chandler then thinks Joey cares more about Ross than him. Meanwhile, while borrowing margarita ingredients from Ross' apartment, Rachel overhears Emily leaving a message saying she is having doubts about going through with her wedding and wants Ross to consider them getting back together. When Rachel accidentally deletes the message, she agonises over telling Ross.",20,5
"Phoebe freaks out after learning Gary is planning to ask her to move in with him, which she is not ready for. Phoebe reluctantly agrees to move in, however the relationship quickly ends when Gary shoots a bird tweeting outside the bedroom window. Rachel buys a hairless Sphynx cat for $1,000 but quickly regrets her purchase when everyone mocks it and the cat continually hisses at and scratches her. She eventually unloads the creature on Gunther, making a profit. Ross and Joey pass time by tossing a ball back and forth, and subsequently try to see how long they can go without dropping the ball. Monica joins in, then Chandler, who is called a 'Dropper', joins in.",21,5
"Joey lands a role in an independent movie, then borrows Phoebe's taxicab to drive to the Las Vegas location. Chandler rides along, but learns that Joey will not get paid unless the movie is successful. He remarks that he does not think the movie will be Joey's big break. Furious, Joey kicks Chandler out, stranding him on the bridge. Chandler later phones Joey and apologizes, though Joey does not tell Chandler that he was right. Production has been shut down due to lack of funds forcing Joey to get a job at Caesars Palace as a gladiator. Meanwhile, Rachel has an eye infection but resists using the prescribed eye drops; Phoebe is angry at Ross and refuses to make up, leaving it to Ross to figure out what he did, only to discover Phoebe dreamed it.",22,5
"Monica has lunch with Richard but does not tell Chandler. The gang goes to Las Vegas to visit Joey. Monica, Chandler, and Phoebe find him working at Caesar's Palace while his movie is shut down. Ross sees Rachel naked through his apartment window, mistaking it as an invitation to ""the physical act of love"". On the plane to Vegas, Ross and Rachel needle each other; he draws a mustache on her with a marker pen while she is asleep. In Vegas, Ross and Rachel get drunk. Joey discovers his ""identical hand twin"" that he believes is a money-making opportunity to fund his movie. Phoebe feuds with a slots ""lurker"" and gets ejected from the casino, though she returns as ""Regina Phalange"". Chandler and Monica decide to get married. At the wedding chapel, Ross and Rachel drunkenly stumble out of the chapel ahead of them.",23,5
"In Vegas, Ross and Rachel initially have no memory of getting married the previous night, then must deal with the aftermath of their drunken escapade. Phoebe and Joey drive back to New York in Phoebe's cab. She becomes angry when Joey sleeps most of the way rather than playing his promised fun road trip games; she unnerves Joey by picking up a hitchhiker while he was napping. Back at home, Monica and Chandler ponder the idea of marriage and decide to take their relationship forward a step by living together.Opening Credit Gag: Courteney Cox married David Arquette between seasons 5 and 6 and she changed her last name to Cox-Arquette. As a gag, the name Arquette was added to every cast member's last name in the opening credits.",1,6
"Ross promises Rachel to get their Vegas marriage annulled. Monica and Chandler announce they are moving in together. Joey reacts badly to the news, though Chandler reassures him their friendship will remain the same. Rachel mistakenly believes all three will be living together until Monica explains Rachel has to move out. Rachel then upsets Monica by her blasé reaction, convinced Monica and Chandler will never go through with it. When Monica assures her they will, Rachel becomes distraught and seeks comfort from Ross. Ross shocks Phoebe by confessing he never intends to get the annulment, claiming he cannot handle another failed marriage.",2,6
"Ross denies to Phoebe that he loves Rachel, yet invites her to move in with him, all while Rachel is unaware they are still legally married. Monica flatly dismisses Chandler's idea to turn the spare bedroom into a game room. Chandler claims Monica still considers it only her apartment, resulting in a fight. Meanwhile, Joey has trouble finding a new roommate.",3,6
"Joey's health benefits lapse just as he develops a hernia. Unable to afford treatment and unwilling to borrow the money from Chandler, he takes on an acting role to renew his insurance, during which the hernia helps out with an uncooperative child star. Ross is given a professorship at NYU and, eager to impress his students, inexplicably lapses into a fake English accent. Rachel discovers she and Ross are still married, and charges into his class yelling at him, unaware the room is filled with students.",4,6
"Rachel forces Ross to get the annulment, though he is still reluctant. As retribution for him lying to her, Rachel fills out the annulment paperwork saying Ross is gay, mentally unstable, and addicted to intravenous drugs. The judge  then disallows an annulment and rules they must obtain a divorce. Ross is miserable, but cheers up when Rachel confesses that getting married was her idea. Joey tries to impress girls by pretending to own a Porsche, whose owner left its keys in Central Perk. Phoebe recruits Monica and Chandler to help her babysit the triplets, but Monica takes Chandler to the emergency room when he swallows a toy gun, leaving Phoebe alone.",5,6
"On the night before Chandler moves in with Monica, Chandler tries to give Joey money to make sure he has enough for his expenses. When Joey refuses, Chandler invents a game called, ""Cups"",  and 'loses' the money to Joey, only for Joey to later lose it all to Ross in the same game. Discovering Rachel has not packed, Monica and Phoebe offer to help. When the two girls get emotional, Phoebe suggests they think of the things they will not miss about each other, leading to a massive argument and Rachel refusing to leave.",6,6
"Rachel moves in with Phoebe. However, Rachel is embarrassed by Phoebe's odd running style and attempts to avoid her during their morning jogs through Central Park. Joey takes in a new roommate: dancer Janine, Chandler wants to impress Monica by cleaning the apartment but panics when he forgets where everything is supposed to go.",7,6
"Ross wants to impress an impending date by whitening his teeth but overdoes it. Phoebe may or may not have made out with Ralph Lauren, which gets Rachel into trouble with her boss. Joey picks up some feminine tastes from his new roommate Janine, worrying Chandler.",8,6
"Ross is forced to tell Chandler why Jack and Judy dislike him. While in college, Ross experimented with pot and was found out by his parents but he claimed it was Chandler's pot. Rachel makes dessert, but when the recipe book's pages get stuck together, she combines an English trifle with a shepherd's pie. Phoebe has a sensual dream about Jack Geller, Monica and Ross' father. Joey and Ross want to skip Monica's Thanksgiving dinner after Janine invites them to hang out with her and her dancer friends.",9,6
"Janine is appearing in the pre-recorded Dick Clark's New Year's Rockin' Eve, and invites Joey, Ross, and Monica to participate in the dancing. While there, Joey wants to ensure a kiss with Janine at midnight, while Monica and Ross wrangle their way onto camera by doing, ""The Routine"", their old high school dance. Meanwhile, Phoebe, Chandler, and Rachel search for Monica's Christmas presents so they can buy her something suitable in return.",10,6
"Janine and Joey are finally dating, only for Janine to tell Joey she does not like Monica and Chandler, forcing him to choose. Meanwhile, Rachel buys an apothecary table from Pottery Barn, a store that Phoebe hates, then pretends she bought it at a flea market. Her story is blown when Phoebe sees the same table at Ross' apartment.",11,6
"Chandler is upset when Playboy prints Ross' joke; both claim they originated the joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk. When Gunther fires him when he closes the shop to go to an audition, Rachel defends him. Phoebe says she would choose Rachel over Monica as a girlfriend because Monica is high-maintenance, but also says that Rachel is a pushover, causing tension between the girls.",12,6
"Joey uses his position as waiter to give all the pretty female customers free things at the coffee house, but quickly gets in trouble with Gunther. Monica refuses to admit she is sick when she gets a bad cold. Rachel's sister Jill  shows up after their father financially cuts her off, and she now has to make it on her own.",13,6
"Chandler claims there is little that makes him cry, resulting in the friends trying everything to break him down. Larry Joe Campbell appears as Phoebe's fan asking for her autograph and then tells Joey she is a porn star. Phoebe discovers that Ursula is making pornographic movies under Phoebe's name. Phoebe gets her back by havingUrsula's paychecks sent to her own address. Ross and Jill begin dating, although it soon becomes clear that Jill's motive is only to irk Rachel.",14,6
"The gang ponders what might have been if Ross and Carol had stayed married, Monica had never lost weight, Chandler had pursued being a writer, Joey still worked on Days of our Lives, Rachel had married Barry, and Phoebe had become a stockbroker. The story then takes place in an alternate reality. Struggling Chandler becomes Joey's assistant with mixed results. Monica plans to lose her virginity to her boyfriend, Roger, but Roger's busy schedule interferes. When Chandler attempts to comfort her, they end up in bed together. Ross attempts to spice up his marriage with Carol by suggesting a threesome, leading to his realization that Carol is a lesbian when he is left out of the action. Rachel instantly falls for Joey after seeing him for the first time in Central Perk, and the two nearly have an affair before Rachel discovers Barry is cheating on her. Phoebe lands in the hospital with a stress-induced heart attack and is subsequently fired after losing her firm millions of dollars.",15,6
"Rachel and Phoebe take self-defense classes. Ross, who previously practiced karate, stages a surprise mock attack to convince them they lack unagi, supposedly a state of ""total awareness"", though unagi is Japanese for eel. Chandler and Monica celebrate Valentine's Day several days late, but when they forget to make each other homemade gifts, Monica gives Chandler one of Phoebe's ""sock bunnies"". Chandler finds a mixtape in the closet and gives it to Monica, unaware it was a present from Janice, complete with her recorded voice. When Joey applies for an identical twin research project that pays $2,000, he recruits someone to play his ""twin.""",16,6
"Ross dates a student from  his paleontology class, fearing it could jeopardize his career, but amusing the friends. Rachel's and Phoebe's apartment catches fire, causing them to move in with Monica and Joey while it is repaired. Rachel initially stays in Monica's plush new guestroom and Phoebe is with Joey. When it is determined that Phoebe's candles did not cause the fire but was actually Rachel's fault, the two switch so that Phoebe gets the nicer room. Rachel finds herself preferring Joey's easygoing nature while Phoebe chafes over Monica's neat-freak ways. Chandler helps Joey get an audition in an upcoming Al Pacino movie.",17,6
"Joey's refrigerator breaks, but unable to afford a new one, he tries to con the friends into paying for it. Ross' student girlfriend, Elizabeth, is heading to Miami for spring break, unleashing Ross' paranoia over what he might do there. Meanwhile, Rachel asks Phoebe, Chandler, and Monica to find her a date for the Ralph Lauren Ball, sparking a competition so fierce that when Rachel finds her own date, the three scare him off.",18,6
"Joey is up for a role on a low-budget cable TV series, playing the science fiction hero, ""Mac"" Machiavelli, the crime-fighting partner of a cool robot, C.H.E.E.S.E., which stands for Computerised Humanoid Electronically Enhanced Secret Enforcer. Monica bursts into the apartment, interrupting Chandler as he is writing Joey a note that his second audition has been changed, causing Joey to miss it. The friends reminisce about other instances when they have messed up. Joey gets another audition chance, which Chandler writes down correctly. One of six clip show episodes over the course of 10 seasons.",19,6
"Ross is nervous meeting Elizabeth's father, Paul ; Paul dislikes Ross but is interested in Rachel. Joey begins working on Mac and C.H.E.E.S.E. but is openly unimpressed with C.H.E.E.S.E. his robot sidekick, a clumsy, slow-moving machine speaking with a distorted voice piped through a mike. This angers the robot's operator, who has the clout to get Joey fired. Phoebe writes a novel based on Monica and Chandler.",20,6
"Paul disapproves of Ross' relationship with Elizabeth and threatens to have him fired unless they break up. Meanwhile, Paul and Rachel begin dating. Ignoring Paul's threats, Ross and Elizabeth sneak away to her family's cabin, unaware Paul and Rachel have the same plan. As a lark, the girls put their names down on a popular wedding venue's long waiting list. When the venue happens to get back to Chandler about a cancellation, he panics and promptly bolts. Monica finds him and assures him it was not a serious reservation, little realizing that Chandler is actually planning to propose.",21,6
"Phoebe helps Chandler look for an engagement ring. Chandler finds the perfect one but does not have the money with him to purchase it. He leaves Phoebe at the store to hold the ring for him. He returns and finds that Phoebe became distracted and allowed the ring to be sold. He then tries to track down the person who bought it. Meanwhile, Rachel urges Paul to open up emotionally but once started, is unable to stop. Joey and Ross are upset that it appears Chandler prefers spending time with Phoebe, so they snub him.",22,6
"Chandler is about to propose to Monica at a fancy restaurant when Richard suddenly appears with a date and joins them. Wanting his proposal to be a surprise at just the right time, Chandler then pretends he has no interest in marriage. Meanwhile, Ross breaks up with Elizabeth, feeling she is too immature for him. He almost reconsiders until she starts throwing water balloons at him. Joey accidentally buys a sailboat at a silent auction, thinking he won it in a contest. He decides to keep the boat. Richard tells Chandler he wants to marry Monica and have children with her. Chandler has made Monica believe he is uninterested in marriage so she reconsiders their relationship. It appears Monica has left him but she surprises him with her own proposal. She starts but becomes emotional so Chandler finishes. The season ends with Chandler and Monica dancing to ""Wonderful Tonight"" by Eric Clapton and the screen fades to black.Note: This is Tom Selleck's last appearance as Richard.",23,6
"The gang prepare to celebrate Monica and Chandler's engagement. When Monica opens the door to Ross kissing Rachel in the hall, she accuses them of stealing her thunder. Ross and Rachel had been planning a ""bonus night"", where two exes have a one-night stand. Meanwhile, Chandler has bedroom-related problems, Joey auditions to play as a 19-year-old, and Phoebe wants to play her guitar at Monica and Chandler's wedding.",1,7
"Monica is devastated that her parents have spent her entire wedding fund to build their beach cottage. She perks up after learning Chandler has enough money to pay for her dream wedding. However, Chandler's refusal to use all the money on a wedding and instead saving it for their future, causes an argument. Joey teases Rachel, after finding an erotic novel she is reading. Phoebe temporarily moves into Ross' apartment, bringing her massage clients with her. When a hot woman shows up for a drop-in appointment when Phoebe is gone, Ross pretends to be a masseuse, only to discover the client is her father.",2,7
