season,episode,scene,location,extra_scene_info
3,3,11,monica and rachel's,joey is entering
3,3,12,monica and rachel's,joey is finishing off the last of the jam
3,4,1,monica and rachel's everyone is there and they are watching an info,mercial that stars joey.
3,4,2,central perk,"chandler, monica, janice are sitting on the couch, and phoebe is sitting next to them in the chair."
3,4,3,monica and rachel's,carol and susan are dropping off ben carol and
3,4,4,central perk,phoebe's beeper is going off
3,4,5,chandler and joey's,chandler and janice are having dinner
3,4,6,monica and rachel's,monica and rachel are comforting chandler
3,4,7,monica and rachel's,ross is still trying to get ben to play with something other than the barbi doll.
3,4,8,a grocery store that janice shops in. chandler is on purpose,accidentally bumping into her.
3,4,9,central perk,joey and phoebe are there
3,4,10,chandler and joey's,chandler is laying on the counter and rachel and monica are comforting him again.
3,4,11,monica and rachel's,"carol and susan are picking up ben, while monica is pouring chocolate syrup, lots of it, into her ice cream."
3,4,12,it's an old home movie of the geller's backyard,"young ross is dressed up as bea, and pouring himself/herself some tea. young"
3,5,1,chandler and joey’s,there is lumber all over the apartment
3,5,2,outside central perk,phoebe is pacing back and forth waiting for someone.
3,5,3,inside central perk,phoebe is pacing back and forth waiting for someone.
3,5,4,chandler and joey’s,joey is drilling a hole in the wall and the drill comes out the other side really close to chandler’s head. chandler then rushes out to talk to joey.
3,5,5,monica and rachel’s,joey is entering
3,5,6,phoebe’s,"frank and her, are sitting on the counh, watching tv"
3,5,7,central perk,ross is working on his list
3,5,8,phoebe’s,frank is melting a plastic spoon.
3,5,9,monica and rachel’s,phoebe is eating breakfast with monica while frank is playing with num-chucks on the balcony
3,5,10,phoebe’s,phoebe and frank are watching tv.
3,5,11,monica and rachel’s bathroom,joey and monica are admiring the new floor.
3,5,12,healing hands inc. phoebe’s work,"frank is being ushered in, by the arm, to the room phoebe is in by another girl."
3,5,13,chandler and joey’s,"everyone is there, helping to lift the entertainment center into place"
3,5,14,central perk,rachel is serving some guy coffee.
3,5,15,chandler and joey’s,they are admiring the entertainment center
3,6,1,central perk,the whole gang is there including janice.
3,6,2,monica and phoebe’s,"three years earlier, phoebe, monica, and ross are there"
3,6,3,chandler’s,chandler is interviewing a potential roommate.
3,6,4,chandler’s,chandler is interviewing joey.
3,6,5,the hallway,monica is coming up the stairs.
3,6,6,a bar,chandler is entering.
3,6,7,monica and phoebe’s,"ross is on the phone, as phoebe is walking by carrying a lamp."
3,6,8,the hallway,"joey is moving in, monica is leaving."
3,6,9,continued from earlier,"joey is moving in, monica is leaving."
3,6,10,monica and phoebe’s,monica is vacuuming.
3,6,11,chandler and joey's,"now joey is watching baywatch , as chandler enters from his bedroom."
3,6,12,monica’s,"monica is coming out of the bathroom wearing nothing but a towel, as chandler is entering."
3,6,13,the bar,"ross is entering, phoebe is at the bar, they are the only two in the place."
3,6,14,monica’s,chandler and monica are still hugging each other.
3,6,15,the bar,phoebe is still hugging ross.
3,6,16,the bar,"chandler is playing pool, as rachel enters."
3,7,1,central perk,"the whole gang is there, ross is telling a story about what happened at work and the rest of the gang are thinking to themselves, denoted by italics."
3,7,2,monica and rachel's,"the whole gang is there including janice, they’re watching happy days ."
3,7,3,central perk,"rachel is on the phone, everyone else is there except joey."
3,7,4,mattress king,monica and phoebe are shopping for a new mattress.
3,7,5,classroom. joey is writing his name on the board,"but turns around before he’s done which causes him to write his name with a downward curve, and he then underlines it, and draws the line right through his name."
3,7,6,monica and rachel's,"joey is entering, phoebe is already there waiting for the delievery guy."
3,7,7,restaurant,rachel and ross and dr. green are having dinner.
3,7,8,after dinner,rachel and ross and dr. green are having dinner.
3,7,9,classroom,joey is lecturing on facial expressions.
3,7,10,hallway,ross and rachel are returning from dinner.
3,7,11,monica’s bedroom,phoebe is trying to hide the bed from monica.
3,7,12,classroom,joey is coaching his student.
3,7,13,central perk,"chandler, monica, and phoebe are there, yelling at joey."
3,7,14,monica and rachel's,rachel is greeting her father for their brunch.
3,7,15,classroom,joey is talking to his students.
3,7,16,mattress king,monica is trying to return her bed.
3,7,17,monica’s bedroom,chandler is playing with the bed.
3,8,1,monica and rachel's,"phoebe, chandler, and ross are there, rachel is serving brownies."
3,8,2,central perk,"ross, rachel, and phoebe are there."
3,8,3,monica and rachel's,all are there except for chandler.
3,8,4,monica and rachel's,monica and rachel are babysitting ben.
3,8,5,the street,chandler and joey are walking past a jewelery store.
3,8,6,monica and rachel's,monica and rachel are dressing up ben in the entire rain suit from rainy day bear.
3,8,7,chandler and joey's,"chandler is waiting for janice to arrive, and is angrily fllipping through a magazine."
3,8,8,monica and rachel's,"monica, rachel, phoebe, and joey are there."
3,8,9,chandler and joey's,"chandler is throwing darts, as joey enters."
3,8,10,monica and rachel's,"ross has just finished putting ben to sleep, and is entering from rachel’s room."
3,8,11,central perk,chandler and janice are there.
3,8,12,monica and rachel's,"joey, rachel, monica, phoebe, and ross are holding the giant poking device."
3,8,13,chandler and joey's,chandler is listening to a lionel richie album
3,9,1,monica and rachel's,"the whole gang is there, the guys are watching football, the girls are cooking thanksgiving dinner."
3,9,2,monica and rachel's,continued from earlier.
3,9,3,the park,the gang is warming up for their football game.
3,9,4,the park,the gang is returning to play the second half of the game.
3,9,5,monica and rachel's,"rachel, phoebe, chandler, and joey are eating thanksgiving dinner."
3,9,6,the park,it’s dark outside and monica and ross are still fighting over the ball.
3,10,1,central perk,chandler and rachel are sitting on the couch.
3,10,2,the hallway of ross’s building,"there is a brown bird girl selling cookies, as ross and chandler come up the stairs."
3,10,3,central perk,the gang’s all there discussing the incident.
3,10,4,sarah’s bedroom,her room is decorated with a space motif.
3,10,5,a hallway,"ross is selling brown bird cookies for sarah, he stops and knocks on a door."
3,10,6,joey’s work,selling christmas trees.
3,10,7,central perk,"all except phoebe are there, ross is telling the gang, minus rachel who’s still being retrained, about the different cookie options."
3,10,8,monica and rachel's,chandler is entering numbers on a calculator as ross reads off how much he’s sold.
3,10,9,joey work,joey is showing a guy a tree.
3,10,10,a brown bird meeting,ross is there with the other brown birds to see who won the contest.
3,10,11,central perk,"chandler, phoebe, and ross are there."
3,10,12,the hallway between the two apartments,"chandler, phoebe, ross, and rachel are coming up the stairs."
3,10,13,central perk,rachel is serving her last cup of coffee.
3,10,14,rachel’s new job,rachel’s boss is telling her what to do.
3,10,15,the hallway between the apartments,ross is bringing sarah to joey and chandler’s.
3,11,1,monica and rachel's,"monica, phoebe, ross, joey, and rachel are there, joey is demonstrating a card trick."
3,11,2,monica and rachel's,continued from earlier.
3,11,3,fortunata fashions,rachel’s new job.
3,11,4,the moondance diner,rachel is talking to monica about her job.
3,11,5,chandler and joey's,it’s joey’s party.
3,11,6,monica and rachel's,"monica, phoebe, ross, and rachel are eating breakfast."
3,11,7,monica and rachel's,continued from earlier.
3,11,8,monica and rachel's,monica is writing letters as rachel enters.
3,11,9,chandler and joey's,ross is reading a letter that chandler wrote.
3,11,10,joey’s sister’s house,chandler hits himself on the head three times and knocks on the door three times. joey answers it.
3,11,11,central perk,"monica, ross, and rachel are there."
3,11,12,joey’s sister’s house,they’re finishing up dinner.
3,11,13,a lobby,"ross is waiting for rachel, after her interview."
3,11,14,monica and rachel's,the entire gang is there.
3,12,1,monica and rachel's,rachel is getting ready for her first day.
3,12,2,chandler and joey's,"ross and chandler are entering, joey is on the phone."
3,12,3,rachel's office,mark is training rachel.
3,12,4,the moondance diner,"monica is cleaning up with one of the waiters, with her back turned to him she removes her fake breasts and hides them under her wig."
3,12,5,joey's audition,"monica is cleaning up with one of the waiters, with her back turned to him she removes her fake breasts and hides them under her wig."
3,12,6,chandler and joey's,chandler is reading joey's resume.
3,12,7,rachel's office,her desk is covered with stuff ross has sent her.
3,12,8,monica and rachel's,ross and rachel are entering the living room from her bedroom.
3,12,9,central perk,"chandler, ross, joey are there."
3,12,10,rachel's office,"chandler, ross, joey are there."
3,12,11,joey's dance audition,joey is warming up.
3,12,12,monica and rachel's,monica is tying a ribbon to a vase.
3,12,13,the moondance diner,monica is tying a ribbon to a vase.
3,12,14,joey's audition,the director has returned and wants to see the combination.
3,12,15,central perk,chandler and rachel are there.
3,12,16,the moondance diner,chandler and rachel are there.
3,13,1,a video store,monica is running in to return a video.
3,13,2,continued from earlier,monica is running in to return a video.
3,13,3,monica and rachel's,"chandler, ross. joey, and rachel are eating breakfast. chandler is holding a bottle of hersey’s syrup ."
3,13,4,chandler and joey's,joey is watching tv.
3,13,5,central perk,"chandler and ross are there, phoebe is entering with her date robert."
3,13,6,monica and rachel's,monica is teaching richard how to make lasagne.
3,13,7,central perk,"chandler is watching joey read little women , ross is also there."
3,13,8,monica and rachel's,monica is talking to richard on the phone.
3,13,9,monica’s bedroom,she’s in bed with richard.
3,13,10,central perk,robert is picking up phoebe for a date.
3,13,11,monica and rachel's,"rachel is reading the shining , as monica enters."
3,13,12,central perk,"phoebe, chandler, and ross are there."
3,13,13,richard’s bedroom,"monica has covered it in rose pedals and candles. we hear richard come in to the apartment, and monica frantically throws the rest of the pedals on the bed, and jumps onto the bed and puts a rose in her mouth, and bites a thorn."
3,13,14,monica and rachel's,"joey is entering, and he’s very dejected."
3,14,1,central perk,"the gang, except rachel, is watching a new singer."
3,14,2,central perk,later.
3,14,3,outside the bathroom,"chandler is pacing back and fourth, waiting is use it."
3,14,4,central perk,the gang’s putting their coats on to leave.
3,14,5,rachel’s office,mark is packing his stuff into a box.
3,14,6,monica and rachel's,"phoebe and monica are playing with a ouija board, phoebe’s beeper goes off and monica screams."
3,14,7,a street,chandler is kissing ginger.
3,14,8,ross’s bedroom,rachel getting into bed while ross is reading and laughs.
3,14,9,monica and rachel's,"phoebe is looking at her beeper still in the pot. she takes it out, shakes it, and puts it back in."
3,14,10,central perk,leslie is singing.
3,14,11,the lecture,"rachel is listening closely, ross is bored out of his mind."
3,14,12,central perk,phoebe is teaching leslie how to sing smelly cat.
3,14,13,the lecture,ross is passed out against rachel’s shoulder.
3,14,14,chandler and joey's,chandler is reading the newspaper.
3,14,15,monica and rachel's,ross and rachel are getting back from the lecture.
3,14,16,chandler and joey's,chandler and ginger are eating dinner.
3,14,17,central perk,phoebe is getting ready to sing as leslie enters.
3,14,18,monica and rachel's,"phoebe, monica, and joey are watching tv."
3,14,19,monica and rachel's,the whole gang except chandler is there.
3,15,1,monica and rachel's,joey is taking a jar of olives out of the fridge.
3,15,2,the xerox place,chandler and joey are waiting in line.
3,15,3,a street,phoebe is walking along with the diplomat sergei and his translator mischa.
3,15,4,monica and rachel's,phoebe is showing monica where sergei’s country is.
3,15,5,central perk,chandler and joey are sitting on the big couch.
3,15,6,rachel’s office,rachel and a co-worker sophie are dealing with the crisis.
3,15,7,monica and rachel's,ross is eating the picnic as rachel comes home from work.
3,15,8,the philly,chandler and joey are talking to chloe.
3,15,9,a restaurant,monica and phoebe are on their dates with sergei and mischa.
3,15,10,monica and rachel's,"rachel is lying in front of the bay window, and the phone rings."
3,15,11,the philly,"rachel is lying in front of the bay window, and the phone rings."
3,15,12,monica and rachel's,"mark is there, opening chinese food boxes."
3,15,13,the restaurant,after dinner.
3,15,14,the philly,with or without you is playing. which is the same song ross played for rachel in tow the list.
3,15,15,monica and rachel's,"rachel is next to the bay window again, mark has left."
3,15,16,the philly,ross is dancing with chloe.
3,15,17,central perk,"sergei is teaching phoebe how to sing american pie , by don maclean. both phoebe and him are singing along and they get to the chorus."
3,16,1,monica and rachel's,"monica is making a fruit drink in the blender, rachel has just finished her shower and is coming out of the bathroom."
3,16,2,ross’s bedroom,ross is waking up. he straightens himself out on the bed and puts the covers over his head.
3,16,3,ross’s kitchen,ross is taking some aspirin and checking his messages.
3,16,4,monica and rachel's,"phoebe is entering carry a large box, monica is mopping the ceiling."
3,16,5,chandler and joey's,ross has told chandler and joey his terrible act.
3,16,6,monica's bedroom,monica and phoebe are waxing their legs.
3,16,7,the xerox place,ross is trying to break the trail.
3,16,8,phoebe’s work,ross is now trying to stop jasmine from telling phoebe.
3,16,9,central perk,gunther is wiping down the counter as ross rushes in.
3,16,10,monica’s bedroom,monica and phoebe are removing the rest of their wax strips.
3,16,11,monica’s bedroom,monica and phoebe are removing the rest of their wax strips.
3,17,1,central perk,chandler and joey are sitting on the couch reading.
3,17,2,chandler and joey's,"the whole gang is there, except for ross and rachel. joey is trying to eat chinese with chopsticks and fails miserably. there’s a knock on the door, and chandler answers it to reveal rachel"
3,17,3,ross’s,"the gang, minus rachel of course, is there. chandler is forced to smoke by an open window."
3,17,4,in phoebe’s grandmother’s cab,"driving up to the cabin. phoebe’s driving, rachel’s sitting shotgun, chandler, monica, and joey are in the back seat."
3,17,5,the rest stop,phoebe’s pulling in.
3,17,6,the rest stop,"the gang is still stuck, chandler is kneeling at the rear bumper."
3,17,7,carol and susan’s,carol is setting a romantic dinner for susan as there is a knock on the door.
3,17,8,the rest stop,phoebe is on the phone to the motor club.
3,17,9,carol and susan’s,ross is eating the dinner carol made for susan.
3,17,10,the rest stop,joey is making a sign.
3,17,11,carol and susan’s,carol is running to answer the door.
3,18,1,central perk,"all but chandler are there, joey laughs for no apparent reason."
3,18,2,central perk,"continued from earlier, ross is handing rachel a cup of coffee."
3,18,3,chandler’s bedroom,chandler is listening to the hypnosis tape.
3,18,4,the moondance diner,"monica is working, rachel is having lunch."
3,18,5,chandler and joey's,ross and joey are being lectured by phoebe.
3,18,6,monica and rachel's,rachel and monica are entering.
3,18,7,chandler and joey's,ross and joey are talking to frank.
3,18,8,chandler and joey's,"it’s after ross and joey’s talk with frank, and phoebe’s is finding out what happened."
3,18,9,phoebe’s,phoebe is opening the door.
3,18,10,pete’s office,"he is participating in a conference call with three other employees, each of whom are on a different tv screen that he controls with a remote."
3,18,11,phoebe’s,"she is coming home. she turns on the lights, and sits down on the couch."
3,18,12,monica and rachel's,rachel is getting monica ready for her date. the guys are also there. the door buzzes.
3,18,13,a restaurant in rome,monica is paying for the pizza.
3,18,14,chandler and joey's,"it’s the middle of the night. joey is walking into the living room, and runs into the entertainment centre."
3,18,15,phoebe’s,"frank is watching tv, and he’s very depressed as phoebe enters."
3,18,16,chandler’s bedroom,he’s listening to the hypnosis tape again.
3,19,1,central perk,gunther is pouring rachel coffee.
3,19,2,the hallway between the two apartments,pete and monica are returning from their date.
3,19,3,a theatre,joey is arriving to rehearse the play he’s in.
3,19,4,central perk,"rachel is telling phoebe about mark, as gunther eavesdrops behind them."
3,19,5,chandler and joey's,joey is telling chandler about kate.
3,19,6,monica and rachel's,"rachel is there as ross enters, walking very confidently."
3,19,7,central perk,the gang minus rachel and ross are talking to pete.
3,19,8,the theatre,joey and kate are rehearsing for the play.
3,19,9,the hallway,chandler and ross are returning from working out.
3,19,10,chandler and joey's,"chandler is watching a basketball game, ross is staring out the peephole."
3,19,11,monica and rachel's,rachel is pouring mark some coffee.
3,19,12,a hospital reception,monica and pete are there.
3,19,13,chandler and joey's,"chandler is sitting in one of the black chairs, and turns to face the other one."
3,19,14,the theatre,kate and joey are rehearsing the same scene as before.
3,19,15,monica and rachel's,monica is in the kitchen chopping vegetables. chandler and phoebe are sitting in the living room.
3,19,16,chandler and joey's,phoebe and chandler are sitting in the black chairs.
3,20,1,monica and rachel's,"chandler, monica, phoebe, and joey are there."
3,20,2,rachel’s office,chandler and her are coming back from lunch.
3,20,3,monica and rachel's,"monica is showing off her new dollhouse. it’s a huge dollhouse, that takes up the entire living room table."
3,20,4,the theatre,joey and kate are getting ready to rehearse the play.
3,20,5,monica and rachel's,"phoebe is entering with her own dollhouse, that she made herself."
3,20,6,rachel’s office,"joanna’s telling rachel, her side of the story."
3,20,7,the theatre,joey and kate are rehearsing.
3,20,8,monica and rachel's,"ross and monica are eating breakfast as joey enters, very happily."
3,20,9,rachel’s office,"ross and monica are eating breakfast as joey enters, very happily."
3,20,10,central perk,chandler is reading a magazine as rachel approaches.
3,20,11,monica and rachel's,ross is entering.
3,20,12,the theatre,kate is arriving for rehearsal.
3,20,13,monica and rachel's,monica and ross are inspecting the damage to the dollhouse.
3,20,14,rachel’s office,chandler and joanna are returning from their lunch date. he is telling her about her mascara problem. rachel is already there.
3,20,15,chandler and joey's,joey is talking on the phone.
3,21,1,outside central perk,rachel and phoebe are helping monica learn how to roller skate by rolling her between themselves.
3,21,2,chandler and joey's,joey is watching quincy m.e. as chandler is walking into the living room from his bedroom.
3,21,3,the moondance diner,"pete is entering, monica is on roller skates."
3,21,4,monica and rachel's,monica is telling rachel about pete’s offer.
3,21,5,chandler and joey's,chandler is talking to phoebe about her suggestion.
3,21,6,the moondance diner,pete is talking to monica about the restaurant.
3,21,7,chandler and joey's,chandler is baby-chick sitting.
3,21,8,monica and rachel's,rachel is trying to take some aspirin.
3,21,9,rachel’s bedroom,"rachel is trying to put on eye liner with her left hand, as ross is setting out her shoes."
3,21,10,central perk,"monica is entering, phoebe is already there."
3,21,11,rachel’s bedroom,ross is finishing up her make-up.
3,21,12,central perk,monica is trying to find out what phoebe won’t tell her.
3,21,13,chandler and joey's,"chandler is watching baywatch with the baby chick. he’s on one leather chair, the chick is on the other. it’s watching yasmine bleeth run and is chirping."
3,21,14,pete’s restaurant’s kitchen,pete is showing monica around the kitchen.
3,21,15,the hallway between the apartments,ross and rachel are coming back from the hospital. ross is helping her up the stairs.
3,21,16,chandler and joey’s bathroom chandler is watching the duck swim in the bathtub,ross and rachel are coming back from the hospital. ross is helping her up the stairs.
3,22,1,monica and rachel's,"phoebe is on the phone, chandler and monica are sitting in the living room, and ross is in the kitchen as rachel enters from her bedroom."
3,22,2,monica and rachel's,monica is getting ready to go to joey’s premiere and phoebe is still on hold.
3,22,3,joey’s premiere,"rachel is already there with her date, tommy who's played by ben stiller who will be in there's something about mary and meet the parents , as ross and his date, cailin, arrive."
3,22,4,the theatre,"at the post premiere party. the gang is already there, except phoebe. joey runs in."
3,22,5,monica and rachel's,monica and rachel are returning. phoebe is still on hold.
3,22,6,the theatre,after the party. joey is trying to comfort kate.
3,22,7,kate’s apartment,joey and kate are returning from a night out on the town.
3,22,8,monica and rachel's,"the next morning, phoebe is still on hold."
3,22,9,central perk,"chandler and monica are sitting on the couch, rachel is on the chair."
3,22,10,backstage at joey’s play,"joey is arriving, late."
3,22,11,monica and rachel's,"chandler and ross are in the kitchen, rachel and monica are sitting in the living room, and phoebe is, you guessed it, still on hold."
3,22,12,backstage at joey’s play,"joey is changing for the next scene as kate arrives, carrying her bags."
3,22,13,monica and rachel's,"the gang, except joey, is there. phoebe is, well you y'know."
3,23,1,chandler and joey's,chandler and joey are playing with the duck and the chick.
3,23,2,central perk,"chandler, joey, and rachel are there, as phoebe enters with her date."
3,23,3,a street,"phoebe is walking with her second date, jason."
3,23,4,a doctor's office,ross is having his thing looked at by dr. rhodes.
3,23,5,central perk,"chandler, monica, and joey are there."
3,23,6,dr. rhodes's office,"a rather large group of doctors has now gathered to take a look at ross's thing. ross is none too pleased with the developments, he has a disgusted look on his face."
3,23,7,pete's apartment,"monica is there to water the plants, and is showing the gang around."
3,23,8,monica and rachel's,the gang is returning from pete’s.
3,23,9,a fire house,phoebe has gone to break up with vince.
3,23,10,central perk,"phoebe, ross, and monica are there."
3,23,11,jason’s apartment,phoebe has gone to break up with jason.
3,23,12,phoebe’s herbal guy’s office,"ross is there about his thing. ross is looking around the exam room, and he goes over to a large bank of drawers, pulls one out and almost spills it as the herbalist, guru saj, enters."
3,23,13,pete’s apartment,pete and monica are coming back from a date.
3,23,14,central perk,"phoebe’s singing, vince is also there."
3,23,15,guru saj’s office joey and chandler have taken the duck to see the guru,"phoebe’s singing, vince is also there."
3,24,1,central perk,the whole gang minus monica is there.
3,24,2,central perk,continued from earlier.
3,24,3,chandler’s office,he is just finishing a meeting with his boss.
3,24,4,monica and rachel's,ross is making reservations.
3,24,5,a gym,"pete is training for the ultimate fighting championship, with his trainer, hoshi."
3,24,6,central perk,"phoebe is there with bonnie, as rachel enters."
3,24,7,chandler’s office,chandler is bent over getting some water as his boss approaches.
3,24,8,the ultimate fighting championship,ross and monica are there watching pete.
3,24,9,the arena,after the fight. monica is walking up to a defeated pete.
3,24,10,monica and rachel's balcony,ross and phoebe are grilling some burgers and hot dogs.
3,24,11,chandler’s office,chandler is confronting his boss about the butt smacking thing. his boss is writing on a white board.
3,24,12,the street outside central perk,rachel and phoebe are talking and walking.
3,24,13,a locker room,"pete is in a full upper-body cast. monica enters, sees him, and gasps. pete tries to turn around, and winces in pain."
3,24,14,chandler’s office,he is just finishing up a meeting with his boss and the rest of his team.
3,24,15,monica and rachel's,"the gang is watching pete fight on tv. monica is hiding in the kitchen, not watching."
3,25,1,central perk,everyone except phoebe is there. bonnie is telling them of her sex-capades.
3,25,2,outside central perk,chandler and monica are waiting for phoebe to arrive with the cab.
3,25,3,at the beach,it’s raining cats and dogs as the gang arrives. chandler and monica are taking shelter under rachel’s hat.
3,25,4,phoebe sr. house,"she is a real estate agent and is trying to sell a house over the phone. by the way, it’s still raining outside."
3,25,5,the beach house,"it’s still raining. chandler is building a sand castle, rachel is doing monica’s nails, and they’re all drinking margaritas, obviously bored."
3,25,6,the beach house,the next morning. chandler and monica are in the kitchen eating breakfast.
3,25,7,the porch,"bonnie is coming back from swimming, rachel is reading."
3,25,8,the beach house,"at night. phoebe is hangs up the phone, and gently pushes one of the stools over."
3,25,9,outside the beach house,ross is coming out to talk to rachel.
3,25,10,phoebe sr.’s house,"phoebe is breaking in through a window. she throws her bag inside, and starts to climb through the window. she gets halfway in and the window slams shut on her butt."
3,25,11,outside the beach house,ross is telling joey and chandler what happened with rachel.
3,25,12,the hallway between the bedrooms. ross is coming upstairs and stops between two doors. he looks at the one on the right,"then he looks at the one on his left, thinks about it, and goes in the one on his right."
3,25,13,the beach house,"chandler is simulating he’s coming to pick up monica for a date. chandler knocks on the door, and monica answers it."
4,1,1,the beach house,"it’s the same scene from the end of last year, with ross in front of the two doors of rachel’s and bonnie’s rooms, trying to decide which door to choose. he finally chooses the one his right and goes in."
4,1,2,phoebe sr.’s house,it’s right after she told phoebe that she’s her birth mother.
4,1,3,the beach house,"joey and chandler are sitting at the dinner table, monica is looking in the fridge."
4,1,4,the beach house,rachel’s bedroom. she is finishing up writing something as ross walks through the door.
4,1,5,the beach house,the next morning. ross is passed out on the kitchen counter. he wakes up with a start and has one of the pages of the letter stuck to his face.
4,1,6,the beach,chandler and monica are out getting some sun.
4,1,7,the beach house,phoebe is coming down the stairs all packed and ready to go.
4,1,8,central perk,ross is telling joey and chandler about the letter.
4,1,9,a hallway in an apartment building,phoebe is knocks on a door and it opens.
4,1,10,monica and rachel's,"chandler, monica, and joey are sitting at the table eating dinner and not talking. ross and rachel are outside cuddling on the balcony."
4,1,11,central perk,phoebe is finishing up a song.
4,1,12,rachel’s bedroom,ross and rachel have just finished consummating the new relationship.
4,1,13,monica and rachel's,chandler and monica are playing cards at the dinner table.
4,2,1,chandler and joey's,"joey is eating breakfast as chandler comes out of his bedroom, ripping his coat in the process."
4,2,2,monica and rachel's,monica and ross are there. monica is checking the messages.
4,2,3,central perk,phoebe is finishing up a song.
4,2,4,monica and rachel's,rachel is working as monica enters.
4,2,5,monica and rachel's,"the next morning, they are all there eating breakfast."
4,2,6,chandler and joey's,joey and chandler are showing a couple of guys tony and peter the entertainment center.
4,2,7,central perk,"chandler, joey, monica, and ross are there."
4,2,8,central perk,"the same scene is continued from before the break. with joey, monica, rachel, and chandler sitting on the couch."
4,2,9,monica and rachel's,rachel is reading at the kitchen table as there is a knock on the door.
4,2,10,chandler and joey's,joey is showing off the entertainment center.
4,2,11,a street,chip is walking monica to his motorcycle.
4,2,12,chandler and joey's,"chandler is coming home. as we walks through the door, and without looking up, he goes to throw his keys on the foosball table, only, it’s gone and the keys it the floor. he then looks up at an empty apartment; everything is gone except for the entertainment center and that ceramic dog. even the food in the fridge!"
4,2,13,dot’s spot,"chip and monica are on there date, eating dinner. chip is telling a story."
4,2,14,chandler and joey's,"rachel, phoebe, and julio are consoling joey and chandler."
4,2,15,chandler and joey's,"joey and chandler have trading the entertainment center for the canoe. joey is sitting in the bow, staring off into space as to envision his future full of possibilities. chandler is sitting at the stern, staring into space and is looking at an uncertain future."
4,3,1,chandler and joey's,chandler is sitting in the canoe as joey runs through the door carrying an outdoor patio table.
4,3,2,monica and rachel's,"monica, ross, phoebe, and rachel are eating breakfast."
4,3,3,chandler and joey's,joey is reading the paper and chandler is getting ready for work.
4,3,4,the geller household kitchen,monica and phoebe are cooking for mrs. geller’s party.
4,3,5,chandler and joey's,joey is scrapping gum off the table as there is a knock on the door. he goes over and opens it.
4,3,6,the geller’s kitchen,monica and phoebe are still cooking.
4,3,7,joanna’s office,joanna and chandler are making out on her chair. chandler isn’t wearing any pants.
4,3,8,joanna’s office,"chandler, still handcuffed to the chair, is looking through the lingerie catalogue by turning the pages with his teeth. the phone rings and chandler answers it with his nose."
4,3,9,chandler and joey's,the salesman is trying to sell joey the encyclopedias.
4,3,10,monica’s childhood bedroom which has been turned into a gym,monica is lying on the treadmill as phoebe enters.
4,3,11,joanna’s office,rachel and chandler are having a little tug-of-war with his pants.
4,3,12,chandler and joey's,"joey is now reading the ‘v’ book, with the salesman watching."
4,3,13,joanna’s office,rachel and chandler are still negotiating.
4,3,14,the geller’s kitchen,phoebe is bringing in some dirty dishes.
4,3,15,central perk,"all except chandler, are there."
4,3,16,rachel’s office,rachel is coming in for the day.
4,4,1,monica and rachel's,the gang is there eating breakfast. chandler is cleaning out his wallet.
4,4,2,garbage room mr,treeger is unclogging the trash chute as rachel enters.
4,4,3,monica and rachel's,"continued from earlier, rachel is now telling everyone of her experience in the garbage room."
4,4,4,treeger’s apartment,joey knocks on the door and treeger opens it.
4,4,5,monica and rachel's,"continued from earlier, everyone is still eating breakfast."
4,4,6,chandler’s gym,he and ross are there to cancel his membership.
4,4,7,heeling hands inc.,"phoebe’s work, she is giving a massage to the guy, rick, she likes."
4,4,8,mr. treeger’s apartment,joey is there to suck up.
4,4,9,central perk,joey is telling monica and rachel what he has to do.
4,4,10,treeger’s apartment,joey knocks and mr. treeger opens the door.
4,4,11,monica and rachel's,rachel and monica are sitting at the table as joey enters.
4,4,12,ross and chandler’s bank,they are there to close their accounts.
4,4,13,healing hands,"inc., phoebe is giving rick a massage."
4,4,14,monica and rachel's,"chandler and ross are telling joey, rachel, and monica of their bank woes."
4,4,15,lara and jeni’s massage,phoebe is interviewing for a job.
4,5,1,central perk,the gang's all there. ross has a slip of paper that he throws on the ground tying to get rachel's attention.
4,5,2,central perk,"the next morning. chandler, monica, ross, and rachel are there."
4,5,3,chandler and joey's,chandler is walking into the living room having just gotten up in the middle of the night.
4,5,4,central perk,"the next night, phoebe is finishing up her set."
4,5,5,monica and rachel's,phoebe and monica are there.
4,5,6,amanda's apartment,ross is arriving with ben.
4,5,7,a street,chandler is buying a newspaper and notices kathy running by.
4,5,8,monica and rachel's,ross is telling monica about his new baby sitting job.
4,5,9,chandler and joey's,chandler is playing hide-and-go-seek with the chick and the duck.
4,5,10,monica and rachel's,"rachel is returning from a date with josh, and when they get the door open, rachel turns and passionately kisses josh."
4,5,11,a nightclub,chandler is having dinner with kathy and joey.
4,5,12,monica and rachel's,monica and rachel are there.
4,5,13,central perk,phoebe is there with her guitar.
4,5,14,chandler and joey's,chandler is watching tv as joey and kathy are laughing in joey's bedroom. they get to be pretty loud so chandler turns the tv way up.
4,5,15,monica and rachel's,"monica, with a blanket draped over her shoulders, opens the door to a similarly clad chandler."
4,5,16,central perk,"phoebe is singing, with everyone else present."
4,6,1,central perk,ross and a beautiful blonde cheryl are standing outside. the rest of the gang is watching from inside.
4,6,2,monica and rachel's. ross,"rachel, and phoebe are there. chandler enters."
4,6,3,outside cheryl's apartment,ross and cheryl are kissing
4,6,4,a kitchen where phoebe and monica are finishing up a catering job,ross and cheryl are kissing
